ID,Mass,X,Y,Speed,Direction
7,1,92.1665,590,10.5644,6.25749
8,1,558.426,590,7.85825,3.05482
9,1,188.374,590,9.22368,2.86
0,1,61.754,590,10.5308,1.46592
1,1,464.269,590,4.90244,6.23927
2,1,156.753,590,5.2755,4.56373
3,1,665.347,590,15.8412,-4.79959
4,1,626.536,590,1.7387,-2.31044
5,1,13.8213,590,8.12426,-3.14341
6,1,42.684,590,8.44046,0.178208
7,1,93.2225,590,10.3531,-6.25749
8,1,557.643,590,7.70109,-3.05482
9,1,187.488,590,9.03921,-2.86
0,1,61.8643,590,12.8261,-0.942322
1,1,464.759,590,4.80439,-6.23927
2,1,156.675,590,5.16999,-4.56373
3,1,665.485,590,15.5244,4.79959
4,1,626.419,590,1.70393,2.31044
5,1,13.0089,590,7.96178,3.14341
6,1,43.5147,590,1.86875,-0.642579
7,1,94.2575,590,10.1461,6.25749
8,1,556.875,590,7.54707,3.05482
9,1,186.62,590,8.85843,2.86
0,1,61.8643,590,12.8261,-0.942322
1,1,464.759,590,4.80439,-6.23927
2,1,156.675,590,5.16999,-4.56373
3,1,665.485,590,15.5244,4.79959
4,1,626.419,590,1.70393,2.31044
5,1,13.0089,590,7.96178,3.14341
6,1,43.5147,590,1.86875,-0.642579
7,1,94.2575,590,10.1461,6.25749
8,1,556.875,590,7.54707,3.05482
9,1,186.62,590,8.85843,2.86
0,1,62.6183,590,9.71398,1.46585
1,1,465.239,590,4.7083,6.23927
2,1,156.598,590,5.06659,4.56373
3,1,665.62,590,15.2139,-4.79959
4,1,626.304,590,1.66985,-2.31044
5,1,12.2127,590,7.80254,-3.14341
6,1,43.6643,590,7.78439,0.17815
7,1,95.2718,590,9.94313,-6.25749
8,1,556.124,590,7.39612,-3.05482
9,1,185.769,590,8.68126,-2.86
0,1,62.7201,590,11.8321,-0.939271
1,1,465.71,590,4.61414,-6.23927
2,1,156.523,590,4.96525,-4.56373
3,1,665.752,590,14.9096,4.79959
4,1,626.191,590,1.63645,2.31044
5,1,11.4325,590,7.64649,3.14341
6,1,44.4304,590,1.71176,-0.662441
7,1,96.2658,590,9.74427,6.25749
8,1,555.387,590,7.2482,3.05482
9,1,184.935,590,8.50763,2.86
0,1,63.4186,590,8.96132,1.46569
1,1,466.17,590,4.52185,6.23927
2,1,156.45,590,4.86595,4.56373
3,1,665.882,590,14.6114,-4.79959
4,1,626.081,590,1.60372,-2.31044
5,1,10.6678,590,7.49356,-3.14341
6,1,44.5654,590,7.17827,0.178013
7,1,97.2399,590,9.54938,-6.25749
8,1,554.665,590,7.10324,-3.05482
9,1,184.117,590,8.33748,-2.86
0,1,63.5126,590,10.9149,-0.936538
1,1,466.622,590,4.43142,-6.23927
2,1,156.378,590,4.76863,-4.56373
3,1,666.01,590,14.3192,4.79959
4,1,625.973,590,1.57165,2.31044
5,1,10,590,7.19682,-6.28501
6,1,45.2719,590,1.56975,-0.680502
7,1,98.1945,590,9.3584,6.25749
8,1,553.957,590,6.96117,3.05482
9,1,183.317,590,8.17073,2.86
0,1,63.5126,590,10.9149,-0.936538
1,1,466.622,590,4.43142,-6.23927
2,1,156.378,590,4.76863,-4.56373
3,1,666.01,590,14.3192,4.79959
4,1,625.973,590,1.57165,2.31044
5,1,10,590,7.19682,-6.28501
6,1,45.2719,590,1.56975,-0.680502
7,1,98.1945,590,9.3584,6.25749
8,1,553.957,590,6.96117,3.05482
9,1,183.317,590,8.17073,2.86
0,1,64.1594,590,8.26753,1.46545
1,1,467.065,590,4.34279,6.23927
2,1,156.307,590,4.67326,4.56373
3,1,666.134,590,14.0328,-4.79959
4,1,625.867,590,1.54022,-2.31044
5,1,10.7197,590,7.05288,6.28501
6,1,45.3939,590,6.61863,0.177819
7,1,99.13,590,9.17123,-6.25749
8,1,553.263,590,6.82195,-3.05482
9,1,182.532,590,8.00732,-2.86
0,1,64.2464,590,10.0685,-0.934093
1,1,467.499,590,4.25593,-6.23927
2,1,156.238,590,4.57979,-4.56373
3,1,666.256,590,13.7522,4.79959
4,1,625.763,590,1.50941,2.31044
5,1,11.425,590,6.91182,-6.28501
6,1,46.0453,590,1.4409,-0.696862
7,1,100.047,590,8.9878,6.25749
8,1,552.584,590,6.68551,3.05482
9,1,181.762,590,7.84717,2.86
0,1,64.845,590,7.62789,1.46517
1,1,467.924,590,4.17081,6.23927
2,1,156.17,590,4.4882,4.56373
3,1,666.376,590,13.4771,-4.79959
4,1,625.661,590,1.47922,-2.31044
5,1,12.1161,590,6.77359,6.28501
6,1,46.1558,590,6.1021,0.177577
7,1,100.945,590,8.80805,-6.25749
8,1,551.918,590,6.5518,-3.05482
9,1,181.009,590,7.69023,-2.86
0,1,64.845,590,7.62789,1.46517
1,1,467.924,590,4.17081,6.23927
2,1,156.17,590,4.4882,4.56373
3,1,666.376,590,13.4771,-4.79959
4,1,625.661,590,1.47922,-2.31044
5,1,12.1161,590,6.77359,6.28501
6,1,46.1558,590,6.1021,0.177577
7,1,100.945,590,8.80805,-6.25749
8,1,551.918,590,6.5518,-3.05482
9,1,181.009,590,7.69023,-2.86
0,1,64.9254,590,9.28765,-0.931895
1,1,468.341,590,4.0874,-6.23927
2,1,156.103,590,4.39843,-4.56373
3,1,666.494,590,13.2076,4.79959
4,1,625.562,590,1.44964,2.31044
5,1,12.7935,590,6.63812,-6.28501
6,1,46.7564,590,1.32367,-0.711719
7,1,101.826,590,8.63189,6.25749
8,1,551.265,590,6.42077,3.05482
9,1,180.27,590,7.53642,2.86
0,1,65.4792,590,7.03799,1.46484
1,1,468.749,590,4.00565,6.23927
2,1,156.038,590,4.31046,4.56373
3,1,666.609,590,12.9434,-4.79959
4,1,625.464,590,1.42065,-2.31044
5,1,13.4573,590,6.50535,6.28501
6,1,46.8567,590,5.62555,0.177304
7,1,102.689,590,8.45925,-6.25749
8,1,550.625,590,6.29235,-3.05482
9,1,179.546,590,7.38569,-2.86
0,1,65.5537,590,8.56722,-0.929928
1,1,469.149,590,3.92554,-6.23927
2,1,155.974,590,4.22426,-4.56373
3,1,666.721,590,12.6846,4.79959
4,1,625.368,590,1.39223,2.31044
5,1,14.1079,590,6.37525,-6.28501
6,1,47.4104,590,1.21678,-0.725134
7,1,103.534,590,8.29006,6.25749
8,1,549.999,590,6.1665,3.05482
9,1,178.836,590,7.23798,2.86
0,1,66.0659,590,6.49391,1.46448
1,1,469.541,590,3.84703,6.23927
2,1,155.912,590,4.13977,4.56373
3,1,666.832,590,12.4309,-4.79959
4,1,625.274,590,1.36439,-2.31044
5,1,14.7454,590,6.24774,6.28501
6,1,47.5015,590,5.18595,0.177004
7,1,104.363,590,8.12426,-6.25749
8,1,549.384,590,6.04317,-3.05482
9,1,178.141,590,7.09322,-2.86
0,1,66.0659,590,6.49391,1.46448
1,1,469.541,590,3.84703,6.23927
2,1,155.912,590,4.13977,4.56373
3,1,666.832,590,12.4309,-4.79959
4,1,625.274,590,1.36439,-2.31044
5,1,14.7454,590,6.24774,6.28501
6,1,47.5015,590,5.18595,0.177004
7,1,104.363,590,8.12426,-6.25749
8,1,549.384,590,6.04317,-3.05482
9,1,178.141,590,7.09322,-2.86
0,1,66.1348,590,7.90259,-0.928164
1,1,469.926,590,3.77008,-6.23927
2,1,155.851,590,4.05698,-4.56373
3,1,666.94,590,12.1822,4.79959
4,1,625.182,590,1.3371,2.31044
5,1,15.3701,590,6.12279,-6.28501
6,1,48.012,590,1.11914,-0.737247
7,1,105.175,590,7.96178,6.25749
8,1,548.782,590,5.92231,3.05482
9,1,177.46,590,6.95136,2.86
0,1,66.6084,590,5.99201,1.4641
1,1,470.302,590,3.69468,6.23927
2,1,155.79,590,3.97584,4.56373
3,1,667.046,590,11.9386,-4.79959
4,1,625.092,590,1.31036,-2.31044
5,1,15.9824,590,6.00033,6.28501
6,1,48.0948,590,4.78056,0.176688
7,1,105.971,590,7.80254,-6.25749
8,1,548.192,590,5.80386,-3.05482
9,1,176.792,590,6.81233,-2.86
0,1,66.6722,590,7.28944,-0.92658
1,1,470.671,590,3.62079,-6.23927
2,1,155.732,590,3.89632,-4.56373
3,1,667.15,590,11.6998,4.79959
4,1,625.004,590,1.28415,2.31044
5,1,16.5825,590,5.88032,-6.28501
6,1,48.5654,590,1.02979,-0.748195
7,1,106.751,590,7.64649,6.25749
8,1,547.614,590,5.68779,3.05482
9,1,176.138,590,6.67608,2.86
0,1,67.11,594.219,7.28944,-0.92658
1,1,471.033,594.818,3.62079,-6.23927
2,1,155.674,595.187,3.89632,-4.56373
3,1,667.252,593.636,11.6998,4.79959
4,1,624.917,594.897,1.28415,2.31044
5,1,17.1705,594.801,5.88032,-6.28501
6,1,48.6409,594.732,1.02979,-0.748195
7,1,106.751,590,7.64649,6.25749
8,1,547.614,590,5.68779,3.05482
9,1,176.138,590,6.67608,2.86
0,1,67.11,590,5.52896,1.46371
1,1,471.033,590,3.54837,6.23927
2,1,155.674,590,7.19765,-2.59242
3,1,667.252,590,11.4658,-4.79959
4,1,624.917,590,1.25847,-2.31044
5,1,17.1705,590,5.76272,6.28501
6,1,48.6409,590,4.40677,0.176362
7,1,107.516,590,7.49356,-6.25749
8,1,547.047,590,5.57403,-3.05482
9,1,175.496,590,1.81842,-1.89203
0,1,67.1691,590,6.72382,-0.925156
1,1,471.388,590,3.47741,-6.23927
2,1,155.06,590,7.05369,2.59242
3,1,667.352,590,11.2365,4.79959
4,1,624.832,590,1.2333,2.31044
5,1,17.7468,590,5.64746,-6.28501
6,1,49.0747,590,0.947939,-0.758083
7,1,108.265,590,7.34369,6.25749
8,1,546.492,590,5.46255,3.05482
9,1,175.439,590,1.78205,1.89203
0,1,67.5737,590,5.10171,1.46332
1,1,471.735,590,3.40786,6.23927
2,1,154.458,590,6.91262,-2.59242
3,1,667.45,590,11.0118,-4.79959
4,1,624.749,590,1.20863,-2.31044
5,1,18.3115,590,5.53451,6.28501
6,1,49.1436,590,4.06219,0.176035
7,1,108.999,590,7.19682,-6.25749
8,1,545.948,590,5.3533,-3.05482
9,1,175.383,590,1.74641,-1.89203
0,1,67.6284,590,6.20205,-0.923875
1,1,472.076,590,3.3397,-6.23927
2,1,153.869,590,6.77437,2.59242
3,1,667.546,590,10.7916,4.79959
4,1,624.668,590,1.18446,2.31044
5,1,18.865,590,5.42382,-6.28501
6,1,49.5435,590,0.872861,-0.76702
7,1,109.718,590,7.05288,6.25749
8,1,545.415,590,5.24623,3.05482
9,1,175.328,590,1.71149,1.89203
0,1,67.6284,590,6.20205,-0.923875
1,1,472.076,590,3.3397,-6.23927
2,1,153.869,590,6.77437,2.59242
3,1,667.546,590,10.7916,4.79959
4,1,624.668,590,1.18446,2.31044
5,1,18.865,590,5.42382,-6.28501
6,1,49.5435,590,0.872861,-0.76702
7,1,109.718,590,7.05288,6.25749
8,1,545.415,590,5.24623,3.05482
9,1,175.328,590,1.71149,1.89203
0,1,68.0022,590,4.70747,1.46293
